,scientific_name,park_name,observations,category,common_names,conservation_status
5395,Limnodromus scolopaceus,Yellowstone National Park,217,Bird,Long-Billed Dowitcher,
5396,Polemonium micranthum,Great Smoky Mountains National Park,83,Vascular Plant,"Annual Jacob's-Ladder, Annual Polemonium, Littlebell Jacob's-Ladder",
5397,Ulota coarctata,Yellowstone National Park,270,Nonvascular Plant,Ulota Moss,
5398,Amaranthus blitoides,Yosemite National Park,168,Vascular Plant,"Mat Amaranth, Prostrate Amaranth, Prostrate Pigweed",
5399,Brachythecium plumosum,Bryce National Park,86,Nonvascular Plant,Brachythecium Moss,
5400,Artemisia arbuscula ssp. arbuscula,Bryce National Park,110,Vascular Plant,"Gray Low Sagebrush, Little Sagebrush",
5401,Anoectangium aestivum,Great Smoky Mountains National Park,83,Nonvascular Plant,Anoectangium Moss,
5402,Populus deltoides,Yellowstone National Park,216,Vascular Plant,Eastern Cottonwood,
5403,Thalictrum fendleri,Bryce National Park,79,Vascular Plant,"Fendler's Meadowrue, Fendler's Meadow-Rue",
5404,Ligustrum sinense,Yellowstone National Park,243,Vascular Plant,Chinese Privet,
5405,Sorex cinereus,Yosemite National Park,121,Mammal,"Common Shrew, Masked Shrew",
5406,Carex nudata,Great Smoky Mountains National Park,32,Vascular Plant,Naked Sedge,
5407,Penstemon radicosus,Yellowstone National Park,265,Vascular Plant,Matroot Penstemon,
5408,Gilia leptalea ssp. bicolor,Bryce National Park,97,Vascular Plant,Bridges' Gilia,
5409,Chaenomeles speciosa,Bryce National Park,117,Vascular Plant,Flowering Quince,
5410,Ribes montigenum,Yellowstone National Park,256,Vascular Plant,"Alpine Prickly Currant, Gooseberry Currant, Mountain Gooseberry",
5411,Arabis patens,Yosemite National Park,138,Vascular Plant,Spreading Rockcress,
5412,Anas discors,Great Smoky Mountains National Park,68,Bird,Blue-Winged Teal,
5413,Isoetes nuttallii,Bryce National Park,105,Vascular Plant,Nuttall's Quillwort,
5414,Draba breweri,Yellowstone National Park,238,Vascular Plant,Cushion Draba,
5415,Dichanthelium sphaerocarpon,Yosemite National Park,148,Vascular Plant,Roundfruit Panic Grass,
5416,Psilocarphus brevissimus var. brevissimus,Yosemite National Park,154,Vascular Plant,Short Woollyheads,
5417,Oceanodroma castro,Yellowstone National Park,253,Bird,Band-Rumped Storm-Petrel,
5418,Tortula amphidiacea,Yellowstone National Park,238,Nonvascular Plant,Tortula Moss,
5419,Bryum lisae var. cuspidatum,Great Smoky Mountains National Park,72,Nonvascular Plant,Bryum Moss,
5420,Carex leptonervia,Yosemite National Park,162,Vascular Plant,"Finely-Nerved Sedge, Nerved Sedge",
5421,Potamogeton pusillus,Great Smoky Mountains National Park,53,Vascular Plant,"Baby Pondweed, Small Pondweed",
5422,Calidris pusilla,Bryce National Park,84,Bird,Semipalmated Sandpiper,
5423,Erigenia bulbosa,Yosemite National Park,150,Vascular Plant,Harbinger Of Spring,
5424,Salix rotundifolia var. dodgeana,Great Smoky Mountains National Park,111,Vascular Plant,Timberline Willow,
5425,Schedonnardus paniculatus,Yellowstone National Park,265,Vascular Plant,"Tumble Grass, Tumbleggrass, Tumblegrass",
5426,Robinia hispida var. kelseyi,Yosemite National Park,132,Vascular Plant,Kelsey's Locust,
5427,Stellaria corei,Yosemite National Park,200,Vascular Plant,"Core's Starwort, Tennessee Starwort",
5428,Salpinctes obsoletus,Great Smoky Mountains National Park,52,Bird,Rock Wren,
5429,Eumeces gilberti,Yosemite National Park,153,Reptile,Gilbert's Skink,
5430,Chamaecrista nictitans ssp. nictitans var. nictitans,Bryce National Park,119,Vascular Plant,Partridge Pea,
5431,Erythronium purpurascens,Yosemite National Park,122,Vascular Plant,Purple Fawnlily,
5432,Dryopteris intermedia,Yosemite National Park,147,Vascular Plant,"Evergreen Woodfern, Intermediate Wood Fern",
5433,Epilobium ciliatum ssp. glandulosum,Yosemite National Park,147,Vascular Plant,"Fringed Willowherb, Glandular Willowherb, Glandular Willowweed",
5434,Gilia tricolor ssp. tricolor,Yosemite National Park,177,Vascular Plant,Bird's-Eye Gilia,
5435,Pyrus calleryana,Bryce National Park,60,Vascular Plant,Callery Pear,
5436,Cardamine pensylvanica,Yosemite National Park,169,Vascular Plant,"Pennsylvania Bittercress, Pennsylvania Bitter-Cress",
5437,Parthenium integrifolium,Yosemite National Park,137,Vascular Plant,"American Fever-Few, Wild Quinine",Species of Concern
5438,Blepharostoma trichophyllum,Bryce National Park,120,Nonvascular Plant,Blepharostoma,
5439,Populus alba,Bryce National Park,139,Vascular Plant,"Silver Poplar, White Poplar",
5440,Erigeron breweri var. breweri,Yosemite National Park,149,Vascular Plant,"Brewer's Daisy, Brewer's Fleabane",
5441,Juncus tiehmii,Great Smoky Mountains National Park,89,Vascular Plant,"Nevada Rush, Tiehm's Rush",
5442,Cryptogramma stelleri,Yellowstone National Park,207,Vascular Plant,"Fragile Rockbrake, Slender Cliffbrake",
5443,Rudbeckia hirta var. pulcherrima,Yellowstone National Park,226,Vascular Plant,Narrow-Leaved Black-Eyed Susan,
5444,Asclepias syriaca,Yosemite National Park,139,Vascular Plant,"Common Milkweed, Kansas Milkweed",
5445,Ranunculus glaberrimus var. ellipticus,Yosemite National Park,158,Vascular Plant,"Elliptical Buttercup, Sagebrush Buttercup",
5446,Vaccinium stamineum,Great Smoky Mountains National Park,100,Vascular Plant,Deerberry,
5447,Epilobium canum ssp. garrettii,Yosemite National Park,161,Vascular Plant,Garrett's Firechalice,
5448,Hieracium aurantiacum,Great Smoky Mountains National Park,83,Vascular Plant,Orange Hawkweed,
5449,Lactuca canadensis,Yosemite National Park,156,Vascular Plant,"Canada Lettuce, Wild Lettuce",
5450,Poa wheeleri,Yellowstone National Park,238,Vascular Plant,Wheeler's Bluegrass,
5451,Viola vallicola,Bryce National Park,88,Vascular Plant,"Sagebrush Violet, Valley Violet",
5452,Podiceps grisegena,Great Smoky Mountains National Park,70,Bird,Red-Necked Grebe,
5453,Euonymus atropurpureus,Yellowstone National Park,249,Vascular Plant,Wahoo,
5454,Gentiana newberryi var. tiogana,Yellowstone National Park,258,Vascular Plant,Tioga Gentian,
5455,Lactuca serriola,Great Smoky Mountains National Park,107,Vascular Plant,Prickly Lettuce,
5456,Wyethia elata,Yosemite National Park,129,Vascular Plant,Hall's Mule-Ears,
5457,Quercus douglasii,Yosemite National Park,112,Vascular Plant,Blue Oak,
5458,Pentaphylloides floribunda,Great Smoky Mountains National Park,84,Vascular Plant,Shrubby Cinquefoil,
5459,Ceratodon purpureus,Bryce National Park,99,Nonvascular Plant,Ceratodon Moss,
5460,Cyperus eragrostis,Great Smoky Mountains National Park,39,Vascular Plant,Tall Flatsedge,
5461,Selaginella densa var. densa,Yellowstone National Park,288,Vascular Plant,"Dense Spikemoss, Lesser Spikemoss",
5462,Sitta canadensis,Bryce National Park,78,Bird,Red-Breasted Nuthatch,
5463,Aureolaria flava,Great Smoky Mountains National Park,59,Vascular Plant,"Yellow False-Foxglove, Yellow Gerardia",
5464,Ipomopsis aggregata,Great Smoky Mountains National Park,111,Vascular Plant,"Scarlet Gilia, Skyrocket Gilia",
5465,Elephantopus carolinianus,Great Smoky Mountains National Park,85,Vascular Plant,"Carolina Elephant-Foot, Carolina Tobaccoweed",
5466,Carex oxylepis var. oxylepis,Yosemite National Park,150,Vascular Plant,Sharpscale Sedge,
5467,Dicranella heteromalla,Yosemite National Park,145,Nonvascular Plant,Dicranella Moss,
5468,Artemisia tridentata ssp. vaseyana,Great Smoky Mountains National Park,67,Vascular Plant,"Big Sagebrush, Mountain Big Sagebrush",
5469,Arctostaphylos nevadensis,Yosemite National Park,176,Vascular Plant,Pinemat Manzanita,
5470,Heuchera merriamii,Great Smoky Mountains National Park,50,Vascular Plant,Merriam's Alumroot,
5471,Lespedeza X nuttallii,Great Smoky Mountains National Park,81,Vascular Plant,Hybrid Bush-Clover,
5472,Graptemys ouachitensis,Yellowstone National Park,262,Reptile,Ouachita Map Turtle,
5473,Rubus flagellaris,Great Smoky Mountains National Park,82,Vascular Plant,Northern Dewberry,
5474,Calidris pusilla,Great Smoky Mountains National Park,58,Bird,Semipalmated Sandpiper,
5475,Prunus pensylvanica,Bryce National Park,69,Vascular Plant,"Fire Cherry, Pin Cherry",
5476,Scirpus microcarpus,Yosemite National Park,182,Vascular Plant,"Panicled Bulrush, Red-Tinge Bulrush, Smallfruit Bulrush",
5477,Dioscorea quaternata,Great Smoky Mountains National Park,58,Vascular Plant,Wild Yam,
5478,Potentilla glandulosa ssp. hansenii,Bryce National Park,83,Vascular Plant,Hansen's Cinquefoil,
5479,Linum lewisii var. alpicola,Bryce National Park,82,Vascular Plant,Prairie Flax,
5480,Climacium kindbergii,Yellowstone National Park,287,Nonvascular Plant,Kindberg's Climacium Moss,
5481,Salvia lyrata,Great Smoky Mountains National Park,87,Vascular Plant,"Lyre-Leaf Sage, Lyre-Leaved Sage",
5482,Weigela florida,Bryce National Park,88,Vascular Plant,Weigela,
5483,Falco peregrinus,Yosemite National Park,112,Bird,Peregrine Falcon,Species of Concern
5484,Carex canescens,Great Smoky Mountains National Park,42,Vascular Plant,"Silver Sedge, Silvery Sedge",
5485,Sagittaria cuneata,Yellowstone National Park,246,Vascular Plant,"Arumleaf Arrowhead, Arum-Leaf Arrowhead, Nothern Arrowhead, Wapato",
5486,Wyethia amplexicaulis,Bryce National Park,104,Vascular Plant,"Mule-Ears, Mule's Ear Wyethia, Mulesear Wyethia",
5487,Sisymbrium officinale,Yosemite National Park,139,Vascular Plant,"Hairy-Pod Hedgemustard, Hedge-Mustard",
5488,Thalictrum fendleri var. fendleri,Great Smoky Mountains National Park,94,Vascular Plant,"Fendler's Meadowrue, Fendler's Meadow-Rue",
5489,Pyrus,Yosemite National Park,125,Vascular Plant,Pear,
5490,Apocynum androsaemifolium,Yosemite National Park,154,Vascular Plant,Spreading Dogbane,
5491,Potamogeton filiformis,Yellowstone National Park,237,Vascular Plant,"Filiform Pondweed, Fineleaf Pondweed, Threadleaf Pondweed",
5492,Asclepias exaltata,Bryce National Park,83,Vascular Plant,Poke Milkweed,
5493,Myosotis laxa,Great Smoky Mountains National Park,81,Vascular Plant,Bay Forget Me Not,
5494,Rallus elegans,Yellowstone National Park,222,Bird,King Rail,Species of Concern
5495,Podiceps nigricollis,Bryce National Park,76,Bird,"Black-Necked Grebe, Eared Grebe",
5496,Carex torta,Yellowstone National Park,258,Vascular Plant,Twisted Sedge,
5497,Eriogonum marifolium,Bryce National Park,96,Vascular Plant,Marumleaf Buckwheat,
5498,Eriogonum prattenianum var. prattenianum,Great Smoky Mountains National Park,70,Vascular Plant,Nevada City Buckwheat,
5499,Bromus grandis,Yellowstone National Park,223,Vascular Plant,Tall Brome,
5500,Piptochaetium avenaceum,Great Smoky Mountains National Park,65,Vascular Plant,"Blackseed Needlegrass, Needlegrass",
5501,Salix brachycarpa,Yosemite National Park,169,Vascular Plant,"Barrenground Willow, Shortfruit Willow",
5502,Antennaria dimorpha,Yosemite National Park,125,Vascular Plant,"Low Everlasting, Low Pussytoes",
5503,Ericameria arborescens,Great Smoky Mountains National Park,59,Vascular Plant,Goldenfleece,
5504,Senecio integerrimus var. major,Bryce National Park,106,Vascular Plant,"Lambstongue Groundsel, Lambstongue Ragwort",
5505,Philadelphus sharpianus,Yosemite National Park,160,Vascular Plant,Sharp's Mock-Orange,
5506,Kalmia microphylla,Bryce National Park,108,Vascular Plant,"Alpine Bog Laurel, Alpine Laurel",
5507,Dracocephalum thymiflorum,Great Smoky Mountains National Park,49,Vascular Plant,"Thymeleaf Dragonhead, Thyme-Leaf Dragonhead",
5508,Oreostemma alpigenum var. haydenii,Bryce National Park,87,Vascular Plant,"Alpine Aster, Tundra Aster",
5509,Astomum muehlenbergianum,Bryce National Park,109,Nonvascular Plant,Muehlenberg's Astomum Moss,
5510,Juncus effusus var. pacificus,Great Smoky Mountains National Park,23,Vascular Plant,Pacific Rush,
5511,Maianthemum canadense,Yosemite National Park,161,Vascular Plant,Canada Mayflower,
5512,Monarda fistulosa,Bryce National Park,87,Vascular Plant,Wild Bergamot Bee-Balm,
5513,Draba paysonii var. treleasii,Great Smoky Mountains National Park,59,Vascular Plant,Trelease's Draba,
5514,Pandion haliaetus,Yellowstone National Park,243,Bird,Osprey,Species of Concern
5515,Rorippa palustris ssp. palustris,Yellowstone National Park,240,Vascular Plant,Bog Yellowcress,
5516,Erigeron inornatus var. inornatus,Yosemite National Park,174,Vascular Plant,"California Rayless Daisy, California Rayless Fleabane",
5517,Hieracium scouleri,Yosemite National Park,156,Vascular Plant,"Houndstongue Hawkweed, Scouler's Woollyweed, Woolyweed",
5518,Lophocolea muricata,Bryce National Park,78,Nonvascular Plant,Liverwort,
5519,Opuntia polyacantha var. polyacantha,Bryce National Park,70,Vascular Plant,Hairspine Pricklypear,
5520,Myurella sibirica,Great Smoky Mountains National Park,67,Nonvascular Plant,Siberian Myurella Moss,
5521,Camassia quamash ssp. quamash,Bryce National Park,120,Vascular Plant,Small Camas,
5522,Erigeron tener,Yosemite National Park,175,Vascular Plant,"Slender Daisy, Slender Fleabane",
5523,Rubus discolor,Yosemite National Park,176,Vascular Plant,"Himalaya Blackberry, Himalayan Blackberry",
5524,Veronica anagallis-aquatica,Yosemite National Park,111,Vascular Plant,Brook-Pimpernell,
5525,Oenothera fruticosa ssp. fruticosa,Great Smoky Mountains National Park,47,Vascular Plant,Sundrops,
5526,Polygonum achoreum,Yellowstone National Park,255,Vascular Plant,"Leathery Knotweed, Striate Knotweed",
5527,Paspalum setaceum,Yosemite National Park,132,Vascular Plant,Thin Paspalum,
5528,Carex lanuginosa,Bryce National Park,73,Vascular Plant,Woolly Sedge,
5529,Phacelia franklinii,Bryce National Park,116,Vascular Plant,Franklin's Phacelia,
5530,Scutellaria elliptica var. elliptica,Yosemite National Park,178,Vascular Plant,Hairy Skullcap,
5531,Ambrosia artemisiifolia,Yosemite National Park,142,Vascular Plant,"Annual Ragweed, Common Ragweed",
5532,Mirabilis linearis,Great Smoky Mountains National Park,76,Vascular Plant,"Four O'Clock, Linearleaf Four-O'Clock, Narrowleaf Four O'Clock, Narrowleaf Four-O'Clock",
5533,Dichelostemma volubile,Bryce National Park,116,Vascular Plant,Twining Snakelily,
5534,Leptodactylon pungens,Yosemite National Park,152,Vascular Plant,"Common Prickly Gilia, Granite Gilia, Granite Prickly Gilia, Granite Prickly Phlox",
5535,Lolium multiflorum,Yellowstone National Park,264,Vascular Plant,"Annual Ryegrass, Italian Ryegrass",
5536,Tussilago farfara,Yosemite National Park,116,Vascular Plant,Colt's Foot,
5537,Polygonum coccineum,Yosemite National Park,126,Vascular Plant,Longroot Smartweed,
5538,Sisyrinchium bellum,Bryce National Park,127,Vascular Plant,Western Blue-Eyed Grass,
5539,Zygodon viridissimus,Yosemite National Park,159,Nonvascular Plant,Zygodon Moss,
5540,Cardamine diphylla,Yellowstone National Park,216,Vascular Plant,"Toothwort, Two-Leaf Toothwort",
5541,Schizachne purpurascens,Yosemite National Park,191,Vascular Plant,"False Melic, False Melic Grass",
5542,Pseudotriton montanus,Yosemite National Park,187,Amphibian,Mud Salamander,
5543,Agalinis tenuifolia,Bryce National Park,73,Vascular Plant,"Slender False-Foxglove, Slender Gerardia",
5544,Rubus parviflorus,Yellowstone National Park,241,Vascular Plant,"Thimbleberry, Western Thimbleberry",
5545,Bromus pubescens,Bryce National Park,100,Vascular Plant,Native Brome Grass,
5546,Aythya collaris,Yosemite National Park,195,Bird,Ring-Necked Duck,
5547,Lithophragma glabrum,Yellowstone National Park,262,Vascular Plant,"Bulbous Woodland-Star, Smooth Woodland-Star",
5548,Vireo solitarius,Bryce National Park,112,Bird,"Blue-Headed Vireo, Solitary Vireo",
5549,Fragaria virginiana,Yosemite National Park,123,Vascular Plant,"Virginia Strawberry, Wild Strawberry",
5550,Quercus marilandica,Yosemite National Park,161,Vascular Plant,Blackjack Oak,
5551,Pyrrhopappus carolinianus,Yosemite National Park,137,Vascular Plant,"Carolina False-Dandelion, False Dandelion",
5552,Potentilla recta,Great Smoky Mountains National Park,84,Vascular Plant,"Rough-Fruited Cinquefoil, Sulphur Cinquefoil",
5553,Achnatherum pinetorum,Bryce National Park,101,Vascular Plant,"Pine Needlegrass, Pine-Forest Needle Grass, Pinewoods Needlegrass",
5554,Tiarella cordifolia,Yosemite National Park,124,Vascular Plant,"Heartleaf Foamflower, Heart-Leaved Foam-Flower",
5555,Anastrophyllum minutum,Bryce National Park,112,Nonvascular Plant,Anastrophyllum,
5556,Picea glauca,Bryce National Park,102,Vascular Plant,"Black Hills Spruce, Canadian Spruce, Cat Spruce, Skunk Spruce, Western White Spruce, White Spruce",
5557,Fritillaria micrantha,Yellowstone National Park,277,Vascular Plant,Brown Fritillary,
5558,Cirsium scariosum,Yosemite National Park,170,Vascular Plant,Evert's Thistle,
5559,Elsholtzia ciliata,Bryce National Park,106,Vascular Plant,Crested Latesummer Mint,
5560,Potentilla diversifolia var. perdissecta,Yosemite National Park,130,Vascular Plant,"Mountainmeadow Cinquefoil, Mountain-Meadow Cinquefoil",
5561,Alnus incana ssp. tenuifolia,Yellowstone National Park,231,Vascular Plant,"Mountain Alder, Speckled Alder, Thinleaf Alder",
5562,Leptodactylon pungens,Bryce National Park,92,Vascular Plant,"Common Prickly Gilia, Granite Gilia, Granite Prickly Gilia, Granite Prickly Phlox",
5563,Centaurea solstitialis,Yellowstone National Park,227,Vascular Plant,"Yellow Star Thistle, Yellow Starthistle, Yellow Star-Thistle",
5564,Clitoria mariana,Yosemite National Park,162,Vascular Plant,"Butterfly-Pea, Maryland Butterfly-Pea",
5565,Rhynchospora glomerata,Yosemite National Park,121,Vascular Plant,Clustered Beaksedge,
5566,Tradescantia subaspera var. montana,Yellowstone National Park,244,Vascular Plant,Mountain Spiderwort,
5567,Solidago missouriensis var. missouriensis,Yellowstone National Park,244,Vascular Plant,Missouri Goldenrod,
5568,Hieracium caespitosum,Great Smoky Mountains National Park,94,Vascular Plant,Field Hawkweed,
5569,Pterospora andromedea,Yosemite National Park,145,Vascular Plant,"Giant Bird's Nest, Giant Pinedrops, Woodland Pinedrops",
5570,Seiurus aurocapillus,Bryce National Park,131,Bird,Ovenbird,
5571,Mentha suaveolens,Yosemite National Park,164,Vascular Plant,"Apple Mint, Bigleaf Mint, Mint",
5572,Aesculus californica,Bryce National Park,108,Vascular Plant,California Buckeye,
5573,Elymus sierrae,Bryce National Park,96,Vascular Plant,Sierra Wildrye,
5574,Lagopus leucura,Great Smoky Mountains National Park,99,Bird,White-Tailed Ptarmigan,
5575,Melanitta perspicillata,Yosemite National Park,191,Bird,Surf Scoter,
5576,Mimus polyglottos,Bryce National Park,88,Bird,"Mockingbird, Northern Mockingbird",
5577,Mollugo verticillata,Bryce National Park,100,Vascular Plant,"Carpet-Weed, Green Carpet-Weed",
5578,Iva xanthifolia,Bryce National Park,104,Vascular Plant,"Burweed Marshelder, Carelessweed, False Ragweed, Giant Marshelder, Giant Sumpweed, Horseweed, Marshelder, Rag Sumpweed",
5579,Galium triflorum,Bryce National Park,79,Vascular Plant,Fragrant Bedstraw,
5580,Kerria japonica,Great Smoky Mountains National Park,94,Vascular Plant,"Japanese-Rose, Kerria",
5581,Carex viridula,Yosemite National Park,144,Vascular Plant,"Green Sedge, Little Green Sedge",
5582,Humulus lupulus,Great Smoky Mountains National Park,89,Vascular Plant,"Common Hop, Common Hops, Hops",
5583,Picoides pubescens,Yellowstone National Park,216,Bird,Downy Woodpecker,Species of Concern
5584,Gaylussacia ursina,Great Smoky Mountains National Park,122,Vascular Plant,Bear Huckleberry,
5585,Accipiter cooperii,Yellowstone National Park,245,Bird,Cooper's Hawk,Species of Concern
5586,Hoita macrostachya,Great Smoky Mountains National Park,84,Vascular Plant,Large Leather-Root,
5587,Gratiola virginiana,Yosemite National Park,146,Vascular Plant,"Roundfruit Hedge-Hyssop, Virginia Hedge-Hyssop",
5588,Sphagnum quinquefarium,Great Smoky Mountains National Park,45,Nonvascular Plant,Sphagnum,
5589,Fragaria virginiana,Great Smoky Mountains National Park,110,Vascular Plant,"Virginia Strawberry, Wild Strawberry",
5590,Galium porrigens var. tenue,Yosemite National Park,134,Vascular Plant,Graceful Bedstraw,
5591,Ivesia lycopodioides ssp. megalopetala,Great Smoky Mountains National Park,47,Vascular Plant,Clubmoss Mousetail,
5592,Darmera peltata,Yosemite National Park,97,Vascular Plant,Indian Rhubarb,
5593,Madia glomerata,Yosemite National Park,137,Vascular Plant,"Cluster Tarweed, Mountain Tarplant, Mountain Tarweed",
5594,Himantopus mexicanus,Great Smoky Mountains National Park,54,Bird,Black-Necked Stilt,
5595,Empidonax minimus,Great Smoky Mountains National Park,47,Bird,Least Flycatcher,
5596,Rhynchospora alba,Yosemite National Park,145,Vascular Plant,White Beaksedge,
5597,Chamaebatia foliolosa,Bryce National Park,78,Vascular Plant,Mountain Misery,
5598,Thysanocarpus curvipes,Great Smoky Mountains National Park,69,Vascular Plant,"Lacepod Mustard, Sand Fringepod, Sand Lacepod",
5599,Liriodendron tulipifera,Great Smoky Mountains National Park,75,Vascular Plant,"Tulip Tree, Tuliptree, Yellow Poplar",
5600,Draba albertina,Yellowstone National Park,239,Vascular Plant,"Arc Dome Draba, Slender Draba",
5601,Mnium thomsonii,Bryce National Park,113,Nonvascular Plant,Thomson's Calcareous Moss,
5602,Micropterus dolomieu,Bryce National Park,69,Fish,Smallmouth Bass,
5603,Delphinium glaucum,Great Smoky Mountains National Park,106,Vascular Plant,"Mountain Larkspur, Sierra Larkspur, Tower Larkspur",
5604,Aureolaria laevigata,Bryce National Park,63,Vascular Plant,"Downy Yellow Foxglove, Smooth Gerardia",
5605,Dryopteris goldiana,Yellowstone National Park,248,Vascular Plant,"Goldie Woodfern, Goldie's Fern",
5606,Arenaria interpres,Great Smoky Mountains National Park,66,Bird,Ruddy Turnstone,
5607,Platanthera lacera,Bryce National Park,100,Vascular Plant,"Green-Fringe Orchis, Green-Fringed Orchid",
5608,Trillium cuneatum,Yosemite National Park,148,Vascular Plant,"Little Sweet Trillium, Sessile-Flowered Maroon Trillium",
5609,Ribes cereum var. pedicellare,Bryce National Park,82,Vascular Plant,"Squaw Currant, Whisky Currant, White Squaw Currant",
5610,Dichanthelium acuminatum var. lindheimeri,Great Smoky Mountains National Park,58,Vascular Plant,Lindheimer Panicgrass,
5611,Asplenium rhizophyllum,Yosemite National Park,157,Vascular Plant,"Walking Fern, Walking-Fern Spleenwort",
5612,Artemisia spiciformis,Bryce National Park,96,Vascular Plant,Big Sagebrush,
5613,Thryomanes bewickii altus,Great Smoky Mountains National Park,86,Bird,Appalachian Bewick's Wren,Species of Concern
5614,Isatis tinctoria,Yellowstone National Park,270,Vascular Plant,Dyer's Woad,
5615,Sciurus griseus,Yellowstone National Park,249,Mammal,Western Gray Squirrel,
5616,Castilleja pilosa var. longispica,Yellowstone National Park,268,Vascular Plant,Longspike Indian Paintbrush,
5617,Carex caroliniana,Yellowstone National Park,293,Vascular Plant,"Carolina Sedge, Hirsute Sedge",
5618,Dichanthelium sabulorum var. thinium,Yosemite National Park,139,Vascular Plant,Small Panic Grass,
5619,Elytrigia repens var. repens,Yosemite National Park,143,Vascular Plant,Witch Grass,
5620,Viburnum edule,Yellowstone National Park,221,Vascular Plant,Squashberry,
5621,Hymenophyllum tayloriae,Bryce National Park,87,Vascular Plant,Taylor's Filmy Fern,
5622,Nemacladus capillaris,Bryce National Park,105,Vascular Plant,Common Threadplant,
5623,Frangula caroliniana,Great Smoky Mountains National Park,43,Vascular Plant,Carolina Buckthorn,
5624,Sphenopholis pensylvanica,Yellowstone National Park,262,Vascular Plant,"Swamp Wedgescale, Trisetum",
5625,Etheostoma camurum,Yosemite National Park,146,Fish,Bluebreast Darter,
5626,Falco peregrinus anatum,Yellowstone National Park,176,Bird,American Peregrine Falcon,In Recovery
5627,Ranunculus bulbosus,Bryce National Park,96,Vascular Plant,"Bulbous Buttercup, Bulbous Butter-Cup",
5628,Euonymus alatus,Great Smoky Mountains National Park,69,Vascular Plant,"Winged Euonymus, Winged Spindle-Tree",
5629,Cerastium fontanum ssp. vulgare,Yellowstone National Park,269,Vascular Plant,Common Mouse-Ear Chickweed,
5630,Allium burdickii,Yellowstone National Park,223,Vascular Plant,"White-Stemmed Ramps, Leeks",
5631,Pseudobahia heermannii,Bryce National Park,69,Vascular Plant,Foothill Sunburst,
5632,Schizachne purpurascens,Bryce National Park,104,Vascular Plant,"False Melic, False Melic Grass",
5633,Ensatina eschscholtzii xanthoptica,Great Smoky Mountains National Park,71,Amphibian,Yellow-Eyed Ensatina,
5634,Sporobolus cryptandrus,Yellowstone National Park,223,Vascular Plant,Sand Dropseed,
5635,Arctostaphylos viscida ssp. mariposa,Bryce National Park,109,Vascular Plant,Mariposa Manzanita,
5636,Hackelia velutina,Bryce National Park,117,Vascular Plant,"Velvet Stickseed, Velvety Stickseed",
5637,Hydrophyllum occidentale,Yosemite National Park,155,Vascular Plant,"Squaw-Lettuce, Western Waterleaf",
5638,Lemna minuta,Yosemite National Park,152,Vascular Plant,Least Duckweed,
5639,Stercorarius parasiticus,Yellowstone National Park,235,Bird,Parasitic Jaeger,
5640,Aster occidentalis var. occidentalis,Great Smoky Mountains National Park,98,Vascular Plant,Western Aster,
5641,Oryzomys palustris palustris,Yellowstone National Park,242,Mammal,Marsh Rice Rat,
5642,Procyon lotor,Yellowstone National Park,240,Mammal,"Common Raccoon, Raccoon",
5643,Centaurea pratensis,Yosemite National Park,154,Vascular Plant,Meadow Knapweed,
5644,Orthodontium pellucens,Great Smoky Mountains National Park,104,Nonvascular Plant,Translucent Orthodontium,
5645,Lolium pratense,Yosemite National Park,143,Vascular Plant,"Meadow Fescue, Meadow Ryegrass",
5646,Ribes rubrum,Yosemite National Park,173,Vascular Plant,Cultivated Currant,
5647,Sphagnum magellanicum,Great Smoky Mountains National Park,86,Nonvascular Plant,Magellan's Sphagnum,
5648,Ptychomitrium incurvum,Yellowstone National Park,245,Nonvascular Plant,Ptychomitrium Moss,
5649,Hypericum pseudomaculatum,Yellowstone National Park,236,Vascular Plant,False Spotted St. Johnswort,
5650,Blephilia hirsuta,Yellowstone National Park,255,Vascular Plant,"Hairy Woodmint, Woodmint",
5651,Prenanthes trifoliolata,Yellowstone National Park,262,Vascular Plant,"Lion's Foot, Three-Leaved Rattlesnake-Root",
5652,Pyrocephalus rubinus,Bryce National Park,100,Bird,Vermilion Flycatcher,Species of Concern
5653,Juncus balticus,Yosemite National Park,128,Vascular Plant,Baltic Rush,
5654,Symphyotrichum lowrieanum,Bryce National Park,107,Vascular Plant,Lowrie's Blue Wood Aster,
5655,Thelypteris simulata,Yosemite National Park,147,Vascular Plant,Bog Fern,
5656,Asclepias verticillata,Great Smoky Mountains National Park,39,Vascular Plant,Whorled Milkweed,
5657,Salvia nemorosa,Great Smoky Mountains National Park,96,Vascular Plant,Woodland Sage,
5658,Carex densa,Yellowstone National Park,268,Vascular Plant,Dense Sedge,
5659,Lonicera involucrata,Great Smoky Mountains National Park,79,Vascular Plant,"Bearberry Honeysuckle, Twinberry Honeysuckle",
5660,Fraxinus pennsylvanica,Bryce National Park,91,Vascular Plant,Green Ash,
5661,Achnatherum nelsonii ssp. dorei,Great Smoky Mountains National Park,63,Vascular Plant,"Columbia Needlegrass, Dore's Needlegrass",
5662,Tringa melanoleuca,Great Smoky Mountains National Park,76,Bird,Greater Yellowlegs,
5663,Lanius ludovicianus,Yosemite National Park,127,Bird,Loggerhead Shrike,Species of Concern
5664,Dichanthelium acuminatum var. acuminatum,Bryce National Park,87,Vascular Plant,Tapered Rosette Grass,Species of Concern
5665,Ribes viscosissimum,Great Smoky Mountains National Park,101,Vascular Plant,Sticky Currant,
